query_id,Top10_77,best_rank_77,Top10_82,best_rank_82,Top10_score_blend,best_rank_score_blend
ba96e7ed069119be,1,6,1,6,1,8
ba82c6c561a37867,1,1,1,1,1,1
9c576402202ad542,1,2,1,2,1,2
fa570eaef50ea911,1,2,1,2,1,2
3a5a9ea23ab9656b,1,1,1,1,1,3
d45e9b3d4fb26dba,1,4,1,7,1,1
64512f799966da72,1,1,1,1,1,1
72fd6c1ff577625d,1,5,0,15,1,3
b36ff4f260e1a892,0,12,1,5,0,18
de811a13599c753c,1,5,1,2,1,4
a7135a57a2a65545,1,3,1,2,1,1
85cd7210de4f4d96,0,13,0,11,0,11
5660bf2449de7071,0,13,0,11,0,11
7c21b43077993a9d,1,9,1,9,0,12
ee2654d7f5edcce9,1,6,1,4,1,9
38a6df701b0950ea,0,18,0,19,0,17
ad564669f6d7296b,1,3,1,2,1,9
5d651fbfabebe2b5,1,3,1,3,1,1
b809e9f0c7c5c715,0,11,0,12,0,18
4adaf7d5a80cd621,1,10,1,8,0,16
696db843a4c5581a,1,3,1,1,1,1
b7ca15ca4907a91f,1,5,1,5,1,4
0e4d24984043762c,1,7,0,12,1,10
67c849ec3f0d08b6,1,2,1,3,1,3
17d6090f5dc2638b,1,3,1,8,1,1
509a0aaa5a65cd1a,1,3,1,2,1,1
db9efc09e95f2b9d,1,3,1,3,1,4
7ff86dd358215d0a,1,2,1,2,1,3
ed921a7128f892ae,1,1,1,1,1,1
8a2c305369c1f3c3,1,3,1,3,1,5
bc85133633dceade,1,2,1,5,1,6
997ad5f266d685af,1,4,1,4,1,2
19d594df9a2ba4e9,1,1,1,1,1,1
f91d893f29ac12e7,1,3,1,2,1,1
a304c5a7706a4e75,1,1,1,1,1,7
ba9bd1609ad536de,1,4,1,4,1,2
4b53db76ac90a950,1,3,1,7,1,1
e53e16bb819a293c,1,7,0,12,1,10
ac21a15717bc163c,1,3,1,3,1,5
d4cf1e4a28f13bb1,1,2,1,6,1,3
eff8af27e0642460,1,1,1,1,1,1
72cb07283a15433d,1,3,1,3,1,10
8bc40243d97ea912,1,4,1,4,1,2
caf9c81dff936b57,0,14,0,14,0,19
51c3d0c09b85eba8,1,1,1,5,1,10
c740d7f144f848f9,1,1,1,1,1,1
bfd60c3acbba26fb,1,1,1,5,1,1
e03d6c21d5f50f71,1,2,1,2,1,2
2e84071e3208e731,1,1,1,1,1,3
f09b0f044ff77420,1,4,1,4,1,2
1bab6373fdda7333,1,2,1,2,1,4
a554131c17e20f48,1,1,1,1,1,1
7a8cbd2d6abe1342,1,3,1,5,1,8
9a149ccd4c293431,1,6,1,7,1,4
fc9bbb4a5abfbc97,1,1,1,2,1,6
4ac08e49dd080395,1,1,1,1,1,1
1fbd6c31326b2c48,1,2,1,2,1,1
95cf96a02735931c,1,1,1,1,1,1
5f91fe857cc52605,1,7,1,6,1,8
a3d0e38c77df32c6,1,3,1,2,1,1
7a0e103e53ec34a1,1,1,1,1,1,1
40be60b2ec7b263f,1,10,1,10,0,14
c8a3634f0290be8f,1,3,1,1,1,1
f253cae072ee2225,1,1,1,1,1,3
959f29dc1f2c2a3e,0,63,0,52,0,34
93a91c3b2e284747,1,7,1,10,1,10
0cb351940634fd51,1,4,1,4,1,5
a58edcfb88e98769,1,2,1,2,1,1
73e3e3b150a11274,1,1,1,1,1,1
0d8e4d416551fa3c,1,1,1,1,1,1
7ac5bf3abe4fa5f5,1,1,1,1,1,1
70cdfeb7a4ff97e3,1,3,1,5,1,7
